Country Region,EC financing,Title,Action location,Organisation,Total cost in Euro,Contract Nr,Theme,DAC code,Duration,Organisation nationality,Amount in Euro
Germany,"
						
						    80 %
					",Ecological Tourism and Public Awareness in Central Kazakhstan (ETPACK),"Central Kazakhstan (Karagana Oblast, Akmola oblast, Semipalatinsk Oblast). Target group: national and international tourists, members of multi-member NGO ""Friends of ecotourism"", Regional agenccy for Eco-tourism ""Nomadic Travel Kazakhstan"" Housholds and local communities building up community based eco-tourism.",NATURSCHUTZBUND DEUTSCHLAND (NABU)EV,"
						      199,570
					",159185,Democratic participation and civil society,15150,24 months,Kazakhstan,"
						      159,656
					"
Germany,"
						
						    80 %
					","Economic development through a comprehensive seed potato production, marketing and extension service system in Zerafshan Valley","Ainy and Gorno Matcha of the Zeravshan valley, Tajikistan",DEUTSCHE WELTHUNGERHILFE EV,"
						      796,101
					",160760,Rural development,43040,24 months,Tajikistan,"
						      636,881
					"
Germany,"
						
						    75 %
					",Enhancing Popular Participation in Governance and Sustainable Development in Somalia and Somaliland (Focus on Women and Youth),Somalia: Somaliland and South Central (all regions) ,HEINRICH BOLL STIFTUNG EV,"
						      600,000
					",161560,Democratic participation and civil society,15150,36 months,Somalia,"
						      450,000
					"
Germany,"
						
						    75 %
					",Enhancing the Role of Civics and Intellectuals in Peace-Building and Reconciliation in Somalia,"Somalia, South Central and the diaspora, all regions",HEINRICH BOLL STIFTUNG EV,"
						      280,000
					",161561,Democratic participation and civil society,15150,36 months,Somalia,"
						      210,000
					"
Germany,"
						
						    75 %
					",Euromapping - creating peer pressure among European NGOs decision makers ODA officials and the media to increase funding for SRHR and development cooperation ,"Belgium, France, Germany, Hungary, Italy, Latvia, The Netherlands, Romania and the United Kingdom",DEUTSCHE STIFTUNG WELTBEVOLKERUNG (DSW),"
						      204,866
					",153914,Promotion of development awareness,99820,12 months,EU Europe ,"
						      153,650
					"
Germany,"
						
						    68 %
					",European-Lebanese Rap Poetry Festival,"Lebanon: Beirut, Northern Lebanon, Southern Lebanon, Beqaa",GOETHE-INSTITUT EV,"
						       44,015
					",163552,Culture and recreation,16061,12 months,Lebanon,"
						       29,875
					"
Germany,"
						
						   100 %
					",Eurosystem Cooperation Programme on Banking Supervision and Internal Audit with the Central Bank of the Russian Federation,"Moscow, Russian Federation",EUROPEAN CENTRAL BANK,"
						     3,000,000
					",133241,Formal sector financial intermediaries,24030,33 months,Russia ,"
						     3,000,000
					"
Germany,"
						
						    75 %
					",Expand Action 146 970 to 500 poorly reintegrated returnees from Iran and present a new image of Afghanistan for potential returnees,"Afghanistan 
Iran",HELP - HILFE ZUR SELBSTHILFE EV,"
						      737,944
					",172628,Vocational training,11330,12 months,Afghanistan,"
						      550,000
					"
Germany,"
						
						   100 %
					",Facilitating Local Initiatives for Conflict Transformation (FLICT),"Location: Sri Lanka, countrywide.

Beneficiaries: Final beneficiaries of the action are people living in the 9 provinces of the country who are directly or indirectly affected by the conflict. Special emphasis will be given to encourage women, youth and minorities to participate within the decision making systems in their own communities. ",DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     1,096,781
					",166297,"Civilian peace-building, conflict prevention and resolution",15220,24 months,Sri Lanka,"
						     1,096,781
					"
Germany,"
						
						    75 %
					","Fair Flowers - a gift to all involved. Raising the awareness of local authorities, consumers and traders on the production of cut flowers in developing countries",,FIAN FOODFIRST INFORMATIONS & AKTIONS NETWERK SEKTION DER BUNDESREPUBLIK DEUTSCHLAND EV,"
						      892,117
					",154169,Promotion of development awareness,99820,36 months,All Countries,"
						      669,087
					"
Germany,"
						
						   100 %
					",Fight Against Trafficking from/to Afghanistan ,"Afghanistan, Iran and Pakistan, Tajikistan, Kazakhstan, Kyrgyzstan, Uzbekistan, Turkmenistan, Azerbaijan, Turkey",DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     9,500,000
					",171704,Security system management and reform,15210,36 months,Asia,"
						     9,500,000
					"
Germany,"
						
						    75 %
					","Fomento de la educación primaria, la salud preventiva y las estructuras comunitarias en San Rafael del Sur, Nicaragua (FOMEDUSA)  ",Managua; Municipio de San Rafael del Sur,VEREIN ZUR FORDERUNG DER STADTEPARTNERSCHAFT KREUZBERG - SAN RAFEAL DEL SUR EV,"
						      399,885
					",169853,Support to national NGOs,92010,30 months,Nicaragua,"
						      299,873
					"
Germany,"
						
						    80 %
					","Food Security and Economic Development in the Bo, Pujehun and Kenema Districts (FoSED)","Bo District, Pujehun District, Kenema District (all in Sierra Leone)",DEUTSCHE WELTHUNGERHILFE EV,"
						     2,500,000
					",168962,Food aid/Food security programmes,52010,60 months,Sierra Leone,"
						     2,000,000
					"
Germany,"
						
						    90 %
					",Food Security and Flood Prevention in Kassala State,"Sudan, Kassala State, at least 15 selected villages in three localities with the primary focus on Hamesh Koreib",DEUTSCHE WELTHUNGERHILFE EV,"
						     1,200,000
					",160622,Food aid/Food security programmes,52010,30 months,Sudan,"
						     1,080,000
					"
Germany,"
						
						    80 %
					","Forest Governance and Integrity Programme: Phase 1.
Anticorruption Advocacy, Forest Governance Systems Analysis and Monitoring","Berlin (Germany); Beijing (China)
Aceh, Papua, Pekanbaru (Indonesia)
Kuala Lumpur (Malaysia)
Port Moresby (PNG); Honiara (Solomon Islands)",TRANSPARENCY INTERNATIONAL EV,"
						     1,250,000
					",152358,Forestry policy and administrative management,31210,20 months,All Countries,"
						     1,000,000
					"
Germany,"
						
						    75 %
					","Frauen und Globalisierung: Decent work for ALL! ¿ 
Informations- und Mobilisierungskampagne für menschenwürdige Arbeit für Frauen in der globalen Exportindustrie am Beispiel Bekleidung","Germany, Austria, Bulgaria",CHRISTLICHE INITIATIVE ROMERO EV,"
						      960,595
					",153879,Promotion of development awareness,99820,36 months,EU Europe ,"
						      720,446
					"
Germany,"
						
						    80 %
					","Health Care Project for Uprooted People in Sop Moi District, Northern Thailand","Mae Ra Ma Luang Camp, Mae La Oon Camp, Sop Moi District, Mae Hong Son, Thailand. 
Target groups are: camp population of Mae Lo Oon (MLO) and Mae Ra Ma Luang (MRML): 30.500 refugees; people from Burma/ Myanmar crossing the border for health services; Thai Villagers from surrounding villages: 1250; 250 new trainees (from the camp population and the Thai villages); 270 medical camp staff; District Public Health Office of Sop Mai District, Vector Borne Control Unit
",MALTESER HILFSDIENST EV,"
						      871,673
					",166070,Basic health care,12220,36 months,Thailand,"
						      697,338
					"
Germany,"
						
						    68 %
					",IBPP Culture: European Accents in Perm,"Perm (Russia)
Limited number of activities in Duisburg (Germany) and Pécs (Hungary) ¿ both European Capitals of Culture 2010
Target groups: ¿	Artists, cultural managers and cultural institutions from Perm and also from Duisburg and Pécs
Beneficiaries: ¿the public - in particular, young adults up to the age of 35 - in Perm and in the two 2010 European Capitals of Culture
¿the Finno-Ugric minority in the Perm Krai
","MITOST EV VEREIN FUR KULTUR- UND SPRACHAUSTAUSCH IN MITTEL-, OST- UNDSUDOSTEUROPA","
						      343,410
					",156228,Culture and recreation,16061,18 months,Russia ,"
						      232,410
					"
Germany,"
						
						    80 %
					",INTEGRATION-Integrated Urban Development.,"Germany, City of Stuttgart
Brazil, Sao Paulo y Rio de Janeiro
México, Municipality of Guadalajara and State of Chihuahua
Colombia, Municipality of Bogotá
Ecuador, Municipality of Quito",LANDESHAUPTSTADT STUTTGART,"
						     3,578,658
					",161150,Urban development and management,43030,48 months,Latin America Countries,"
						     2,862,926
					"
Germany,"
						
						    73 %
					",Implementing effective and sustainable biodiversity conservation in Ethiopia¿s Afro-montane ecosystems,"Bale Mountains National Park, Oromia National Regional State
Simien Mountains National Park, Amhara National regional State
Guassa Community Conservation Area (GCCA),Amhara National regional State
Abune Yoseph Community Conservation Area,Amhara National regional State",ZOOLOGISCHE GESELLSCHAFT FRANKFURTVON 1858,"
						     3,421,933
					",151332,Bio-diversity,41030,60 months,All Countries,"
						     2,500,000
					"
Germany,"
						
						    90 %
					",Improvement of Food Security and Peoples¿ Livelihood on Sloping Lands in DPRK,Democratic People's Republic of Korea,DEUTSCHE WELTHUNGERHILFE EV,"
						     1,084,466
					",154261,Food aid/Food security programmes,52010,30 months,North Korea,"
						      976,020
					"
Germany,"
						
						    88 %
					",Improvement of Food Security in Urban Areas of DPRK by means of Hydroponics Vegetable Production,Democratic People's Republic of Korea,DEUTSCHE WELTHUNGERHILFE EV,"
						     1,700,000
					",154255,Food aid/Food security programmes,52010,30 months,North Korea,"
						     1,500,000
					"
Germany,"
						
						    80 %
					",Improvement of livelihoods and reinforcement of participatory development processes in resettled villages ,"Northern Shan State, Wa Special Region, Wein Kao District, Naung Khit Township
Target groups are approximately 10,000 persons of 1,800 households of Wa and Lahu eth-nic groups, in 27 villages of Naung Khit township with a considerable pro-portion of relocated households, who suffered the double shock of sudden total income loss through poppy ban and relocation",DEUTSCHE WELTHUNGERHILFE EV,"
						     1,843,648
					",157680,Food crop production,31161,47 months,Myanmar,"
						     1,474,918
					"
Germany,"
						
						    80 %
					",Improving Environmental and Safety Performance in Electrical and Electronics industry in China,"China, Beijing and country-wide
Target Group:
(i)	Small and Medium sized Enterprises (SMEs)  
(ii)	Governments, who are responsible for policy formulation and uptake of project results;
(iii)	Retailers ",DEUTSCHER INDUSTRIE- UND HANDELSKAMMERTAG,"
						     2,599,088
					",152569,Industrial development,32120,48 months,China,"
						     2,079,270
					"
Germany,"
						
						    80 %
					","Iniciativa para a Promoção da Paz, Reconciliação e Edificação Comunitária  nas Províncias de Benguela e do Bié","Municípios de Balombo, Baía Farta e Bocoio (província de Benguela) e municípios de Chinguar, Andulo e Kunhinga (província do Bié) -  República de Angola",DIAKONISCHES WERK DER EVANGELISCHEN KIRCHE IN DEUTSCHLAN EV,"
						      348,326
					",168418,"Civilian peace-building, conflict prevention and resolution",15220,36 months,Angola,"
						      278,600
					"
Germany,"
						
						    79 %
					",Innovative timber tracking using genetic and isotope fingerprints,Cameroun,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						      451,273
					",151919,Environmental policy and administrative management,41010,18 months,Cameroon,"
						      357,273
					"
Germany,"
						
						    80 %
					",Joint European-Latin American Universities Renewable Energy Project (JELARE),Latvia : Rçzeknes Augstskola ; Bolivia : Universidad Católica Boliviana  ; Brazil  : Universidade Do Sul de Santa Catarina  ; Chile  : Universidad de Chile  ; Guatemala : Universidad del Istmo. ,HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN HAMBURG,"
						     1,499,997
					",160938,Higher education,11420,36 months,Latin America Countries,"
						     1,199,997
					"
Germany,"
						
						    75 %
					",Justice For Communities,"Location: Sri Lanka - Ampara and Batticaloa Districts 

Beneficiaries: Vulnerable groups marginalised from decision making processes and services, to be reached through Civil Society Groups in Ampara & Batticaloa Districts, National Civil Society Groups, Individual Community Advocates, and Civilian and Military Officers
",ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V.,"
						      595,937
					",157552,Democratic participation and civil society,15150,36 months,Sri Lanka,"
						      446,952
					"
Germany,"
						
						   100 %
					",KINDERNOTHILFE - GRANT FOR PROTECTING CHILDREN AND WOMENFROM ABUSE AND GENDER BASED VIOLENCE IN UGANDA,"IN UGANDA, DISTRICTS OF APAC, MUKONO AND KITGUM ",KINDERNOTHILFE EV,"
						      359,607
					",194355,,0,15 months,Uganda,"
						      359,607
					"
Germany,"
						
						    91 %
					",KS 07 IB AG 01 - Meeting EU Standards on Food Safety and Veterinary Services,Kosovo,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     2,200,000
					",172263,Livestock/veterinary services,31195,27 months,Kosovo,"
						     2,000,000
					"
Germany,"
						
						    80 %
					",Local Governments¿ backing for the development and implementation of a global and comprehensive post-2012 climate change agreement.,"Asia: China, India, Indonesia;
Latin America: Mexico, Brazil;
Africa: South Africa, Nigeria;",LOCAL ENVIRONMENTAL INITIATIVES (FREIBURG) ICLEI EUROPEAN SECRETARIATINTERNATIONALER RAT FUR KOMMUNALE UMWELTINITIATIVEN EUROPASEKRET GMBH,"
						     1,101,052
					",151937,Environmental education/ training,41081,18 months,All Countries,"
						      880,000
					"
Germany,"
						
						    78 %
					","Local inistiatives to create opportunities for children, young people and women of Udege and Nanai tribes in the Bikin River area, Russian Far East","Bikin River area, Russian Far East",UMWELTSTIFTUNG WWF DEUTSCHLAND - STIFTUNG FUR DEN SCHUTZ DER BIOLOGISCHEN VIELFALT UND DER NATURLICHEN UNWELT,"
						      359,880
					",149315,Democratic participation and civil society,15150,24 months,Russia ,"
						      279,840
					"
Germany,"
						
						    75 %
					",NSA and LA in Development Cooperation,Germany,LANDESHAUPTSTADT STUTTGART,"
						      147,042
					",155950,Promotion of development awareness,99820,10 months,Germany,"
						      110,282
					"
Germany,"
						
						    90 %
					",On the footsteps of Karimojong: Awareness-raising and capacity development for peace building and protection of human rights of out-migrant Karimojong.,"Districts of Iganga, Mayuge, Mbale and Jinja in Uganda.",ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V.,"
						      176,786
					",170836,Human rights,15160,12 months,Uganda,"
						      159,108
					"
Germany,"
						
						    80 %
					",One village One Voice - Empowering citizen representation and participation in the District of Vavuniya ,"Sri Lanka, Vavuniya District, 10 villages in Cheddikulam and Vavuniya South Divisions",DEUTSCHE WELTHUNGERHILFE EV,"
						      173,860
					",169415,Human rights,15160,24 months,Sri Lanka,"
						      139,088
					"
Germany,"
						
						    75 %
					","Participative Housing Reforms - Increasing citizens' participation in local housing reforms implementation through strengthening their capacities, improving access to information and facilitating dialogue with local authorities","Belarus: Minsk, Vitebsk, Grodno, Lida, Zhodino
Target groups:new emerging civil initiatives in the housing sector ¿ homeowners¿ associations and homeowners (=residents) themselves, regional and local governments (executive committees), non-governmental organizations",INITIATIVE WOHNUNGSWIRTSCHAFT OSTEUROPA E V,"
						      199,689
					",165120,Housing policy and administrative management,16030,24 months,Belarus,"
						      149,767
					"
Germany,"
						
						    90 %
					",Pilot conditional cash transfers provided for health and adult literacy,"Southern Somalia, Bay and Bakool Region",DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     1,111,200
					",170599,Food aid/Food security programmes,52010,30 months,Somalia,"
						     1,000,000
					"
Germany,"
						
						    80 %
					",Poverty Alleviation in Tajikistan through Education and Non-formal Training   (PATENT),Tajikistan (Sughd and Khatlon Regions),DEUTSCHER VOLKSHOCHSCHUL-VERBAND EV,"
						      675,000
					",160759,Vocational training,11330,24 months,Tajikistan,"
						      540,000
					"
Germany,"
						
						    75 %
					",Poverty Reduction through Active Adult Learning (Proactive) - Pilot Project in Tavush Marz ,"Location: Tavush Marz, Armenia.
Target groups: Vulnerable members of the community (around 300 people ¿ unemployed)
Staff of institutions involved in human resources development and participating in learning festivals (Employers organisations, Non Governmental Organisations, Educational organisations, Local authorities, staff of local employment agencies, Adult education Centre (minimum 840 people)
Final beneficiaries: The Tavush local population at large (around 130,000 people) as the project strives to contribute to the development of human resources in the region. ",DEUTSCHER VOLKSHOCHSCHUL-VERBAND EV,"
						      266,000
					",160912,Vocational training,11330,30 months,Armenia,"
						      199,500
					"
Germany,"
						
						    64 %
					",Promoting People's Participantion and Governance in Vietnam Cities through the Association of Cities of Vietnam,"Hanoi and 30 selected cities in North-, Central- and South-Vietnam",KONRAD-ADENAUER-STIFTUNG EV,"
						      784,980
					",170002,Government administration ,15140,30 months,Vietnam,"
						      499,640
					"
Germany,"
						
						    85 %
					",Promoting the Role of Women Entrepreneurs in Local Economic Development (PROWELED),"Uzbekistan: Tashkent, Andijan, Ferghana, Syrdarya, Khorezm, Surkhandarya",SEQUA GGMBH,"
						      442,129
					",150076,Business support services and institutions,25010,24 months,Central Asia Region,"
						      375,810
					"
Germany,"
						
						    69 %
					",Protección e inclusión de los pueblos étnicos del litoral pacifico en estrategias de desarrollo sostenible,"Colombia. Sur de la cuenca del Litoral Pacífico, en las localidades de Tumaco (departamento de Nariño), Guapi (Departamento del Cauca), Buenaventura (Departamento de Valle del Cauca)",DEUTSCHER CARITASVERBAND EV,"
						      720,000
					",170674,Democratic participation and civil society,15150,26 months,Colombia,"
						      500,000
					"
Germany,"
						
						    75 %
					",Psychosocial aid in rural Afghanistan - Support for post-traumatized war victims and socially marginalised people,"Herat, Balkh, Kunduz and Bamyan Provinces, Afghanistan",DEUTSCHER CARITASVERBAND EV,"
						      935,500
					",149269,Medical services,12191,36 months,Afghanistan,"
						      701,625
					"
Germany,"
						
						    80 %
					",Raptor pest control as a sustainable resource management model in the Jordan Valley in suport of the Middle East peace process.,"- Jordan: 
Jordan Valley, starting from the north of the Dead Sea to Al Yarmouk, and Ramtha

- Israel: 
Jordan Valley, Beit Shean

- PAWBG:
Jordan Valley, Jericho
",HANNS-SEIDEL-STIFTUNG,"
						      459,644
					",153002,"Civilian peace-building, conflict prevention and resolution",15220,36 months,West Bank and Gaza Strip,"
						      367,715
					"
Germany,"
						
						    90 %
					",Re-Tie Bangladesh: Reduction of environmental threats and increase of exportability of Bangladeshi leather products,Bangladesh,SEQUA GGMBH,"
						     2,071,001
					",170238,Small and medium-sized enterprises (SME) development,32130,36 months,Bangladesh,"
						     1,863,901
					"
Germany,"
						
						    75 %
					","Reciclando vidas: inclusão e cidadania para as catadoras, os catadores e suas famílias","País: Brasil
Regiões: Norte e nordeste
Cidades: 
Estado da Bahia - Barreiras, Macajubá e Santo Antônio de Jesus; 
Estado do Maranhão - Balsas, Buriticupu, Imperatriz e São Mateus; e, 
Estado do Pará - Abaetetuba, Bragança e Paragominas
",DEUTSCHER CARITASVERBAND EV,"
						      696,555
					",168984,Democratic participation and civil society,15150,36 months,Brazil,"
						      522,416
					"
Germany,"
						
						   100 %
					",Regional programme on industrial and intellectual property rights in the Western Balkans and in Turkey,"Albania, Bosnia and Herzegovina, Croatia, the former Yugoslav Republic of Macedonia, Montenegro, Serbia, Kosovo under UNSCR 1244/99, Turkey",EUROPEAN PATENT ORGANISATION,"
						     1,999,873
					",154662,Legal and judicial development,15130,24 months,Region IPA instrument,"
						     1,999,873
					"
Germany,"
						
						    51 %
					",Rehabilitation of Torture Victims in Iraq and Germany,"Berlin, Germany and Kiev, Ukraine",BEHANDLUNGSZENTRUM FUR FOLTEROPFEREV,"
						     2,945,714
					",148190,Human rights,15160,36 months,All Countries,"
						     1,490,000
					"
Germany,"
						
						    90 %
					",Renforcement des productions vivrières dans le territoire de GUNGU,,HANNS-SEIDEL-STIFTUNG,"
						     1,869,502
					",164568,Agricultural development,31120,36 months,Congo (Democratic Republic of the),"
						     1,682,552
					"
Germany,"
						
						    90 %
					",Revitalizing food security and livelihood capacity of selected communities of Raga County,"The Republic of Sudan, Western Bahr El Ghazal State, Raga County
Tentative villages: D/Jalab, Manamba, Kata, Boro Medina, Sopo, Mangayat, D/Zubeir, Kuru, Yabulu and Timsah",DEUTSCHES ROTES KREUZ EV,"
						     1,150,726
					",160785,Food aid/Food security programmes,52010,30 months,Sudan,"
						     1,035,653
					"
Germany,"
						
						    80 %
					",SUSTAINABLE AND CLEANER PRODUCTION IN THE MANUFACTURING INDUSTRIES OF PAKISTAN (SCI-PAK),"Target Group: SMEs of Pakistan
Geography: Lahore, Faisalabad and Karachi, Pakistan
",VEREIN ZUR FORDERUNG DES TECHNOLOGIETRANSFERS AN DER HOCHSCHULE BREMERHAVEN EV,"
						     1,408,592
					",153248,Industrial development,32120,36 months,Pakistan,"
						     1,126,874
					"
Germany,"
						
						    77 %
					",Setting-up an Internet-based Domestic Election Monitoring Network for Belarus,Belarus,DEUTSCH RUSSISCHER AUSTAUSCH EV,"
						      638,787
					",147787,Human rights,15160,14 months,Belarus,"
						      491,866
					"
Germany,"
						
						    85 %
					",Start up for Export,"Kazakhstan, Almaty",HANDWERKSKAMMER TRIER,"
						      326,703
					",150244,Small and medium-sized enterprises (SME) development,32130,24 months,Kazakhstan,"
						      277,698
					"
Germany,"
						
						    80 %
					","Strengthening Civil Society, Media and Local Councils' Capacity to Promote Political Pluralism, Democratic Participation and Representation at Local Government Level in Uganda. ","Districts of Gulu, Kasese, Mbarara, Soroti, Mbale and Masaka in the Republic of Uganda.",KONRAD-ADENAUER-STIFTUNG EV,"
						      209,691
					",171122,Human rights,15160,18 months,Uganda,"
						      167,753
					"
Germany,"
						
						    75 %
					",Strengthening internal and external communication and cooperation of political foundations from EUMember-States in Development Cooperation and Democracy Promotion,"Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Italy, Lithuania, Malta, Netherlands, Poland, Romania, Slovenia, Spain, Sweden, UK",KONRAD-ADENAUER-STIFTUNG EV,"
						      792,303
					",155401,Promotion of development awareness,99820,36 months,All Countries,"
						      593,989
					"
Germany,"
						
						    71 %
					",Strengthening the Role of Somalia Red Crescent Society SRCS as Non-State Actor to better integrate the Youth into the Society of Somaliland,"6 Regions in north-western Somalia: Awdal, Galbed, Togdheer, Sahil, Sool, and Sanaag",DEUTSCHES ROTES KREUZ EV,"
						      846,209
					",161544,Democratic participation and civil society,15150,48 months,Somalia,"
						      600,000
					"
Germany,"
						
						   100 %
					",Strengthening the institutional capacity of the Public Procurement Agency of Bosnia and Herzegovina - BA06/IB/OT/05-TL,"BiH, Public Procurement Agency of Bosnia and Herzegovina",B. & S.U. BERATUNGS- UND SERVICE-GESELLSCHAFT UMWELT MBH,"
						      250,000
					",154170,Public finance management,15111,11 months,Bosnia and Herzegovina,"
						      250,000
					"
Germany,"
						
						    78 %
					","Support and enable African Human Rights defenders in using national, regional and international human rights protection systems","Angola, Chd, DR Congo, Togo, Zimbabwe, Guinea, Liberia, Sierra Leone, Core d'Ivoire, Burundi and Rwanda.",DIAKONISCHES WERK DER EVANGELISCHEN KIRCHE IN DEUTSCHLAN EV,"
						     1,268,500
					",154516,Human rights,15160,36 months,Sub-Saharan Africa,"
						      989,430
					"
Germany,"
						
						    91 %
					",Support to Education and Information Centre of the Serbian Intellectual Property Office,Serbia- Belgrade,EUROPEAN PATENT ORGANISATION,"
						     2,200,000
					",164743,Government administration ,15140,36 months,Serbia,"
						     2,000,000
					"
Germany,"
						
						   100 %
					",Support to the Global Donor Platform for Rural Development (GDPRD),worldwide,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     1,500,000
					",148764,Food aid/Food security programmes,52010,36 months,All Countries,"
						     1,500,000
					"
Germany,"
						
						    90 %
					",Supporting Activities of Livestock Entrepreneurs in Somalia (SALES),Southern Somalia - Gedo and Lower Juba Regions,TIERARZTE OHNE GRENZEN,"
						      833,333
					",170594,Food aid/Food security programmes,52010,27 months,Somalia,"
						      750,000
					"
Germany,"
						
						    80 %
					",Supporting the Law by Understanding HIV and Training in the Practice of Human Rights Advocacy for PLHIV,"Viet Nam, Ha Noi and HCMC.  Beneficiary: Local NGOs working with People Living with HIV/AIDS.  ",CARE DEUTSCHLAND-LUXEMBURG EV,"
						      155,266
					",171328,Human rights,15160,24 months,Vietnam,"
						      124,212
					"
Germany,"
						
						    80 %
					",Sustainable Public Procurement in Urban Adminsitrations in China (SuPP-Urb China),"China: Gansu, Hebei provinces and Tianjin city
Target Group
(i)	Small and Medium sized Enterprises (SMEs)  who supply the local governments
(ii) Local Governments in charge of procurement","WUPPERTAL INSTITUT FUR KLIMA, UMWELT, ENERGIE GMBH","
						      908,000
					",153224,Industrial development,32120,36 months,China,"
						      725,500
					"
Germany,"
						
						    46 %
					",Towards the establishment of a comprehensive reporting and monitoring system for the United Nations Convention to Combat Desertification (UNCCD).,"Headquarters of the UNCCD, Bonn, Germany",UNITED NATIONS CONVENTION TO COMBAT DESERTIFICATION,"
						      439,466
					",150132,Environmental policy and administrative management,41010,10 months,All Countries,"
						      200,000
					"
Germany,"
						
						   100 %
					",Twinning ''Legal Approximation and Structural Reform in the Energy Sector of Azerbaijan'',"Target group: Ministry of Industry and Energy in the Republic of Azerbaijan
Location: Baku, Azerbaijan",BUNDESREPUBLIK DEUTSCHLAND,"
						     1,100,000
					",169605,Energy policy and administrative management,23010,21 months,Azerbaijan,"
						     1,100,000
					"
Germany,"
						
						   100 %
					","Twinning ''Strengthening of Standardisation, Metrology,
Conformity Assessment & Accreditation in SASMP''","Target group: The State Agency on Standards, Metrology and Patents of the Republic of Azerbaijan
Location: Baku, Azerbaijan",BUNDESREPUBLIK DEUTSCHLAND,"
						     1,400,000
					",164180,Trade facilitation,33120,27 months,Azerbaijan,"
						     1,400,000
					"
Germany,"
						
						   100 %
					",Twinning project ''Support to Transport  Policy Design and Implementation in Ukraine'',Ukraine,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     1,000,000
					",163340,Transport policy and administrative management,21010,24 months,Ukraine,"
						     1,000,000
					"
Germany,"
						
						    74 %
					",Un paisaje integrado de conservación y desarrollo sostenible: fortalecimiento de un sistema regional de áreas protegidas y territorios indígenas en la cuenca tri-nacional del Río Putumayo,"Zona transfronteriza de la cuenca media del Putumayo
entre los países Colombia, Ecuador y Perú
Colombia: Dept. de Putumayo, Municipio Puerto Leguízamo;
Ecuador: Cant. Cuyabeno, Lago Agrio, Putumayo y Aguarico;
Perú: Dept. de Loreto, Provincia de Maynas",UMWELTSTIFTUNG WWF DEUTSCHLAND - STIFTUNG FUR DEN SCHUTZ DER BIOLOGISCHEN VIELFALT UND DER NATURLICHEN UNWELT,"
						     3,400,000
					",151687,Site preservation,41040,48 months,South America Region,"
						     2,500,000
					"
Germany,"
						
						    75 %
					","Verantwortliche Öffentliche Beschaffung und Menschenwürdige Arbeit JETZT! 
¿ Öffentlichkeits-, Bewusstseins- und Lobbykampagne zur Durchsetzung sozialer und ökologischer Beschaffung von Öffentlicher Hand und privaten Institutionen
","Germany, Austria, Czech Republic",CHRISTLICHE INITIATIVE ROMERO EV,"
						      934,884
					",153904,Promotion of development awareness,99820,36 months,EU Europe ,"
						      701,163
					"
Germany,"
						
						    75 %
					","Water, Sanitation and Health Project for the Empowerment of Local Actors and Women in Hajja Governorate, Yemen",Hajja Governorate,VISION HOPE INTERNATIONAL EV,"
						      386,327
					",171392,Basic health care,12220,36 months,Yemen,"
						      289,745
					"
Germany,"
						
						    75 %
					","¿Fight Climate Poverty!¿ A work programme for 2009-2011: Raising public awareness in France, Germany and Poland on the interplay of climate change and the global effort to reach the Millennium Development Goals","Germany, France, Poland, Belgium (Brussels)",OXFAM DEUTSCHLAND EV,"
						      951,500
					",153443,Promotion of development awareness,99820,36 months,EU Europe ,"
						      713,600
					"
Germany,"
						
						    80 %
					","¿Household energy efficiency and renewable energy use in Zeravshan valley, Tajikistan¿","Tajikistan, Sughd Province, Zeravshan Valley, Ayni and Gorno Matcha districts",DEUTSCHE WELTHUNGERHILFE EV,"
						      805,255
					",152181,Environmental education/ training,41081,30 months,Tajikistan,"
						      644,204
					"
Germany,"
						
						    75 %
					","''A peoples movement for the wellbeing of the whole 
community ¿ empowering the poorest of the poor to participate in the development process in Rwanda
''
","Rwanda, ACP region. Districts of Muhanga, Nyamagabe, Rubavu. The target group is up to 20 000 women who belong to the poorest of the poor in the 13 sectors of the 3 districts.",KINDERNOTHILFE EV,"
						      898,615
					",134933,Democratic participation and civil society,15150,48 months,Rwanda,"
						      673,961
					"
